ID,Date,Season
1,Tue Feb 06 2024 00:00:00 GMT+0100 (Central European Standard Time),0
2,Tue Jan 30 2024 00:00:00 GMT+0100 (Central European Standard Time),0
3,Tue Jan 23 2024 00:00:00 GMT+0100 (Central European Standard Time),0
4,Sat Jan 13 2024 00:00:00 GMT+0100 (Central European Standard Time),0
5,Thu Jan 11 2024 00:00:00 GMT+0100 (Central European Standard Time),0
6,Sat Jan 06 2024 00:00:00 GMT+0100 (Central European Standard Time),0
8,Tue Feb 13 2024 00:00:00 GMT+0100 (Central European Standard Time),0
11,Sat Feb 17 2024 00:00:00 GMT+0100 (Central European Standard Time),0
12,Tue Feb 20 2024 00:00:00 GMT+0100 (Central European Standard Time),0
14,Tue Feb 27 2024 00:00:00 GMT+0100 (Central European Standard Time),0
17,Thu Mar 07 2024 00:00:00 GMT+0100 (Central European Standard Time),0
19,Tue Mar 12 2024 00:00:00 GMT+0100 (Central European Standard Time),0
22,Tue Mar 19 2024 00:00:00 GMT+0100 (Central European Standard Time),0
23,Sat Mar 23 2024 00:00:00 GMT+0100 (Central European Standard Time),0
24,Tue Mar 26 2024 00:00:00 GMT+0100 (Central European Standard Time),0
25,Sun Apr 07 2024 00:00:00 GMT+0200 (Central European Summer Time),0
27,Tue May 07 2024 00:00:00 GMT+0200 (Central European Summer Time),0
28,Thu May 02 2024 00:00:00 GMT+0200 (Central European Summer Time),0
29,Sun May 12 2024 00:00:00 GMT+0200 (Central European Summer Time),0
30,Tue May 14 2024 00:00:00 GMT+0200 (Central European Summer Time),0
31,Tue May 21 2024 00:00:00 GMT+0200 (Central European Summer Time),0
33,Sat May 25 2024 00:00:00 GMT+0200 (Central European Summer Time),0
35,Tue May 28 2024 00:00:00 GMT+0200 (Central European Summer Time),0
36,Tue Sep 03 2024 00:00:00 GMT+0200 (Central European Summer Time),1
37,Tue Sep 10 2024 00:00:00 GMT+0200 (Central European Summer Time),1
38,Wed Sep 18 2024 00:00:00 GMT+0200 (Central European Summer Time),1
39,Tue Sep 24 2024 00:00:00 GMT+0200 (Central European Summer Time),1
40,Tue Oct 01 2024 00:00:00 GMT+0200 (Central European Summer Time),1
41,Tue Oct 08 2024 00:00:00 GMT+0200 (Central European Summer Time),1
42,Tue Oct 15 2024 00:00:00 GMT+0200 (Central European Summer Time),1
43,Tue Oct 29 2024 00:00:00 GMT+0100 (Central European Standard Time),1
44,Tue Nov 12 2024 00:00:00 GMT+0100 (Central European Standard Time),1
45,Tue Nov 26 2024 00:00:00 GMT+0100 (Central European Standard Time),1
46,Tue Dec 03 2024 00:00:00 GMT+0100 (Central European Standard Time),1
47,Tue Dec 10 2024 00:00:00 GMT+0100 (Central European Standard Time),1
48,Sat Dec 14 2024 00:00:00 GMT+0100 (Central European Standard Time),1
49,Sat Feb 01 2025 00:00:00 GMT+0100 (Central European Standard Time),2
